"x","y"
0,2.60528e-12
0,2.79697e-12
0,3.16164e-12
0,3.62952e-12
0.00065,3.69861e-12
0.00149717,3.79107e-12
0.00264084,3.92037e-12
0.0041848,4.10345e-12
0.00623312,4.36237e-12
0.00895057,4.73641e-12
0.0125557,5.29229e-12
0.0173385,6.15037e-12
0.0236837,7.54416e-12
0.0321017,9.96813e-12
0.0432695,1.45886e-11
0.0580855,2.4549e-11
0.0777414,4.98651e-11
0.103818,1.30047e-10
0.136318,4.35141e-10
0.168818,1.46116e-09
0.201318,4.89413e-09
0.233818,1.62544e-08
0.266318,5.30049e-08
0.298818,1.65992e-07
0.331318,4.69984e-07
0.363818,1.12918e-06
0.396318,2.19233e-06
0.428818,3.41694e-06
0.461318,4.43298e-06
0.493818,5.14568e-06
0.526318,5.7221e-06
0.558818,6.29099e-06
0.591318,6.89111e-06
0.623818,7.52772e-06
0.65,8.06521e-06

"x","y"
0,4.10789e-20
0,3.42281e-20
0,-1.16456e-19
0,1.08681e-11
0,1.5075e-11
0,1.58371e-11
0,1.56096e-11
0,1.52332e-11
0,1.55858e-11
0,1.686e-11
0,1.85533e-11
0,1.95595e-11
0,2.09729e-11
0,2.31289e-11
0,2.39068e-11
0,2.49962e-11
0,2.65603e-11
0,2.88882e-11
0,3.25009e-11
0,3.83813e-11
0,4.82734e-11
0,6.56809e-11
0,9.47931e-11
0.00065,9.57003e-11
0.00149717,9.69054e-11
0.00264084,9.85744e-11
0.0041848,1.00907e-10
0.00623312,1.04151e-10
0.00895057,1.08735e-10
0.0125557,1.15359e-10
0.0173385,1.25227e-10
0.0236837,1.40562e-10
0.0321017,1.65839e-10
0.0432695,2.11072e-10
0.0580855,3.0183e-10
0.0777414,5.15033e-10
0.10336,1.11881e-09
0.13586,3.23927e-09
0.16836,9.76322e-09
0.20086,2.96972e-08
0.23336,8.92209e-08
0.26586,2.58111e-07
0.29836,6.89961e-07
0.33086,1.59338e-06
0.36336,3.0752e-06
0.39586,5.05807e-06
0.42836,7.29402e-06
0.46086,9.56186e-06
0.49336,1.16993e-05
0.52586,1.35376e-05
0.55836,1.49891e-05
0.59086,1.61219e-05
0.62336,1.70831e-05
0.65,1.7827e-05

"x","y"
0,3.12518e-20
0,2.92923e-20
0,-1.42941e-19
0,7.66304e-12
0,1.07239e-11
0,1.13747e-11
0,1.12625e-11
0,1.09948e-11
0,1.13257e-11
0,1.24358e-11
0,1.40036e-11
0,1.50355e-11
0,1.65445e-11
0,1.89423e-11
0,2.3036e-11
0,3.0512e-11
0,4.4843e-11
0,7.30429e-11
0,1.02344e-10
0.00065,1.03155e-10
0.00149717,1.04227e-10
0.00264084,1.05705e-10
0.0041848,1.07758e-10
0.00623312,1.10588e-10
0.00895057,1.14544e-10
0.0125557,1.20178e-10
0.0173385,1.28416e-10
0.0236837,1.40916e-10
0.0321017,1.60918e-10
0.0432695,1.95476e-10
0.0578249,2.60746e-10
0.0767955,4.03533e-10
0.100635,7.65494e-10
0.130594,1.91025e-09
0.163094,5.58375e-09
0.195594,1.68995e-08
0.228094,5.1291e-08
0.260594,1.5198e-07
0.293094,4.23241e-07
0.325594,1.03949e-06
0.358094,2.13534e-06
0.390594,3.709e-06
0.423094,5.57629e-06
0.455594,7.51372e-06
0.488094,9.35851e-06
0.520594,1.09355e-05
0.553094,1.21177e-05
0.585594,1.29706e-05
0.618094,1.36651e-05
0.65,1.43094e-05

"x","y"
0,2.99693e-20
0,1.82056e-20
0,-3.37161e-20
0,6.28376e-12
0,8.82121e-12
0,9.37139e-12
0,9.26462e-12
0,9.03503e-12
0,9.33906e-12
0,1.01364e-11
0,1.1236e-11
0,1.19583e-11
0,1.29996e-11
0,1.46398e-11
0,1.73629e-11
0,2.21719e-11
0,3.12254e-11
0,4.89651e-11
0,7.13603e-11
0.00065,7.19557e-11
0.00149717,7.27445e-11
0.00264084,7.38332e-11
0.0041848,7.53479e-11
0.00623312,7.74411e-11
0.00895057,8.03755e-11
0.0125557,8.45717e-11
0.0173385,9.07401e-11
0.0236837,1.00167e-10
0.0321017,1.15394e-10
0.0432695,1.42018e-10
0.0580855,1.94173e-10
0.0777414,3.14189e-10
0.10336,6.5008e-10
0.13586,1.83145e-09
0.16836,5.51288e-09
0.20086,1.69788e-08
0.23336,5.20722e-08
0.26586,1.54893e-07
0.29836,4.29435e-07
0.33086,1.03127e-06
0.36336,2.06576e-06
0.39586,3.49856e-06
0.42836,5.1561e-06
0.46086,6.8639e-06
0.49336,8.5107e-06
0.52586,9.99809e-06
0.55836,1.12325e-05
0.59086,1.21942e-05
0.62336,1.29676e-05
0.65,1.35409e-05

"x","y"
0,7.58182e-20
0,2.97284e-20
0,5.28903e-20
0,5.67664e-12
0,7.68265e-12
0,7.99329e-12
0,7.7975e-12
0,7.51584e-12
0,7.68362e-12
0,8.13231e-12
0,8.58073e-12
0,8.80025e-12
0,9.07707e-12
0,9.44218e-12
0,9.92483e-12
