x,y
0,1.11E-10
0,1.85E-10
0,2.36E-10
0,2.72E-10
0,3.02E-10
0,3.35E-10
0,3.90E-10
0,4.97E-10
0,7.12E-10
0,8.20E-10
0,9.97E-10
0,1.28E-09
0,1.71E-09
0,2.43E-09
0,3.82E-09
0,6.71E-09
0,1.28E-08
0,2.45E-08
0,2.69E-08
0.00065,2.69E-08
0.00149717,2.70E-08
0.00264084,2.70E-08
0.00415812,2.72E-08
0.00613563,2.73E-08
0.00875914,2.75E-08
0.0122397,2.77E-08
0.0168571,2.81E-08
0.022983,2.85E-08
0.03111,2.91E-08
0.0418918,2.99E-08
0.055944,3.10E-08
0.0742588,3.26E-08
0.0981291,3.46E-08
0.12924,3.75E-08
0.16174,4.08E-08
0.19424,4.44E-08
0.22674,4.84E-08
0.25924,5.28E-08
0.29174,5.77E-08
0.32424,6.34E-08
0.35674,7.01E-08
0.38924,7.83E-08
0.42174,8.84E-08
0.45424,1.01E-07
0.48674,1.18E-07
0.51924,1.40E-07
0.55174,1.73E-07
0.58424,2.21E-07
0.61674,2.95E-07
0.64924,4.09E-07
0.65,4.12E-07
0,3.93E-19
0,3.04E-19
0,2.79E-18
0,9.68E-12
0,1.61E-11
0,2.04E-11
0,2.32E-11
0,2.55E-11
0,2.69E-11
0,2.90E-11
0,3.23E-11
0,3.81E-11
0,4.88E-11
0,6.97E-11
0,7.87E-11
0,9.27E-11
0,1.16E-10
0,1.56E-10
0,2.30E-10
0,3.77E-10
0,6.83E-10
0,1.36E-09
0,2.84E-09
0,3.40E-09
0.00065,3.40E-09
0.00151233,3.41E-09
0.00267648,3.42E-09
0.00422092,3.43E-09
0.00626988,3.44E-09
0.00898816,3.46E-09
0.0125944,3.49E-09
0.0173787,3.52E-09
0.0237259,3.57E-09
0.0321464,3.64E-09
0.0433177,3.72E-09
0.0581383,3.84E-09
0.0778003,4.01E-09
0.103885,4.25E-09
0.136385,4.57E-09
0.168885,4.95E-09
0.201385,5.40E-09
0.233885,5.98E-09
0.266385,6.75E-09
0.298885,7.86E-09
0.331385,9.52E-09
0.363885,1.20E-08
0.396385,1.58E-08
0.428885,2.15E-08
0.461385,3.05E-08
0.493885,4.47E-08
0.526385,6.77E-08
0.558885,1.04E-07
0.591385,1.63E-07
0.623885,2.55E-07
0.65,3.62E-07
0,3.11E-19
0,2.69E-19
0,-1.17E-19
0,5.55E-11
0,9.24E-11
0,1.17E-10
0,1.34E-10
0,1.47E-10
0,1.62E-10
0,1.86E-10
0,2.33E-10
0,3.31E-10
0,4.43E-10
0,5.32E-10
0,6.64E-10
0,8.60E-10
0,1.19E-09
0,1.83E-09
0,3.14E-09
0,5.97E-09
0,8.58E-09
0,1.26E-08
0,1.29E-08
0.00065,1.29E-08
0.00149717,1.29E-08
0.00264084,1.30E-08
0.00415812,1.30E-08
0.00613563,1.31E-08
0.00875914,1.32E-08
0.0122397,1.33E-08
0.0168571,1.35E-08
0.022983,1.37E-08
0.03111,1.40E-08
0.0418918,1.45E-08
0.0561956,1.51E-08
0.0748383,1.59E-08
0.0991359,1.70E-08
0.130804,1.86E-08
0.163304,2.05E-08
0.195804,2.25E-08
0.228304,2.48E-08
0.260804,2.73E-08
0.293304,3.04E-08
0.325804,3.41E-08
0.358304,3.88E-08
0.390804,4.49E-08
0.423304,5.31E-08
0.455804,6.43E-08
0.488304,8.04E-08
0.520804,1.05E-07
0.553304,1.43E-07
0.585804,2.03E-07
0.618304,3.01E-07
0.65,4.52E-07
0,4.46E-20
0,3.24E-20
0,-4.10E-20
0,2.85E-12
0,4.35E-12
0,5.00E-12
0,5.26E-12
0,5.49E-12
0,6.08E-12
0,7.85E-12
0,1.12E-11
0,1.39E-11
0,1.84E-11
0,2.58E-11
0,3.95E-11
0,6.69E-11
0,1.27E-10
0,2.73E-10
0,3.53E-10
0.00065,3.53E-10
0.00151233,3.54E-10
0.00267648,3.55E-10
0.00422092,3.57E-10
0.00626988,3.59E-10
0.00898816,3.61E-10
0.0125944,3.65E-10
0.0173787,3.69E-10
0.0237259,3.76E-10
0.0321464,3.85E-10
0.0433177,3.98E-10
0.0581383,4.19E-10
0.0778003,4.52E-10
0.103885,5.12E-10
0.136385,6.27E-10
0.168885,8.17E-10
0.201385,1.14E-09
0.233885,1.71E-09
0.266385,2.73E-09
0.298885,4.57E-09
0.331385,7.84E-09
0.363885,1.35E-08
0.396385,2.29E-08
0.428885,3.86E-08
0.461385,6.45E-08
0.493885,1.06E-07
0.526385,1.69E-07
0.558885,2.64E-07
0.591385,4.01E-07
0.623885,5.93E-07
0.65,7.97E-07
0,4.07E-20
0,5.94E-20
0,3.59E-20
0,1.49E-11
0,2.26E-11
0,2.62E-11
0,2.77E-11
0,2.88E-11
0,3.11E-11
0,3.94E-11
0,5.87E-11
0,7.42E-11
0,9.81E-11
0,1.38E-10
0,2.06E-10
0,3.29E-10
0,5.70E-10
0,1.08E-09
0,1.42E-09
0,1.84E-09
0.00065,1.85E-09
0.00149717,1.85E-09
0.00264084,1.86E-09
0.00415812,1.87E-09
0.00617104,1.88E-09
0.0087006,1.89E-09
0.0120565,1.91E-09
0.0165086,1.93E-09
0.0224152,1.97E-09
0.0302512,2.01E-09
0.0406469,2.08E-09
0.0544386,2.16E-09
0.0727355,2.29E-09
0.0970095,2.47E-09
0.128647,2.74E-09
0.161147,3.09E-09
0.193647,3.54E-09
0.226147,4.18E-09
0.258647,5.16E-09
0.291147,6.77E-09
0.323647,9.51E-09
0.356147,1.41E-08
0.388647,2.15E-08
0.421147,3.29E-08
0.453647,5.09E-08
0.486147,8.03E-08
0.518647,1.29E-07
0.551147,2.12E-07
0.583647,3.48E-07
0.616147,5.68E-07
0.648647,9.08E-07
0.65,9.26E-07
0,1.75E-20
0,1.96E-20
0,-6.66E-21
0,1.66E-12
0,2.52E-12
0,2.87E-12
